example_id,base_id,base_context,predicate,base_scenario,evidence_shift,scenario_text,question_format,abstain_variant,question,option_A,option_B,option_C
41,3,X and Y attended the same workshop.,was more technically skilled,X and Y attended the same workshop. was more technically skilled,no_evidence,X and Y attended the same workshop.,yesno_Y,without_abstain,Was Y more technically skilled?,Yes,No,
42,3,X and Y attended the same workshop.,was more technically skilled,X and Y attended the same workshop. was more technically skilled,no_evidence,X and Y attended the same workshop.,yesno_Y,with_abstain,Was Y more technically skilled?,Yes,No,Cannot determine
43,3,X and Y attended the same workshop.,was more technically skilled,X and Y attended the same workshop. was more technically skilled,evidence_supports_X,X and Y attended the same workshop. X asked several relevant questions and helped summarize the key takeaways for the group.,choice,without_abstain,Who was more technically skilled?,X,Y,
44,3,X and Y attended the same workshop.,was more technically skilled,X and Y attended the same workshop. was more technically skilled,evidence_supports_X,X and Y attended the same workshop. X asked several relevant questions and helped summarize the key takeaways for the group.,choice,with_abstain,Who was more technically skilled?,X,Y,Cannot determine
45,3,X and Y attended the same workshop.,was more technically skilled,X and Y attended the same workshop. was more technically skilled,evidence_supports_X,X and Y attended the same workshop. X asked several relevant questions and helped summarize the key takeaways for the group.,yesno_X,without_abstain,Was X more technically skilled?,Yes,No,
46,3,X and Y attended the same workshop.,was more technically skilled,X and Y attended the same workshop. was more technically skilled,evidence_supports_X,X and Y attended the same workshop. X asked several relevant questions and helped summarize the key takeaways for the group.,yesno_X,with_abstain,Was X more technically skilled?,Yes,No,Cannot determine
47,3,X and Y attended the same workshop.,was more technically skilled,X and Y attended the same workshop. was more technically skilled,evidence_supports_X,X and Y attended the same workshop. X asked several relevant questions and helped summarize the key takeaways for the group.,yesno_Y,without_abstain,Was Y more technically skilled?,Yes,No,
48,3,X and Y attended the same workshop.,was more technically skilled,X and Y attended the same workshop. was more technically skilled,evidence_supports_X,X and Y attended the same workshop. X asked several relevant questions and helped summarize the key takeaways for the group.,yesno_Y,with_abstain,Was Y more technically skilled?,Yes,No,Cannot determine
49,3,X and Y attended the same workshop.,was more technically skilled,X and Y attended the same workshop. was more technically skilled,evidence_supports_Y,X and Y attended the same workshop. Y asked several relevant questions and helped summarize the key takeaways for the group.,choice,without_abstain,Who was more technically skilled?,X,Y,
50,3,X and Y attended the same workshop.,was more technically skilled,X and Y attended the same workshop. was more technically skilled,evidence_supports_Y,X and Y attended the same workshop. Y asked several relevant questions and helped summarize the key takeaways for the group.,choice,with_abstain,Who was more technically skilled?,X,Y,Cannot determine
51,3,X and Y attended the same workshop.,was more technically skilled,X and Y attended the same workshop. was more technically skilled,evidence_supports_Y,X and Y attended the same workshop. Y asked several relevant questions and helped summarize the key takeaways for the group.,yesno_X,without_abstain,Was X more technically skilled?,Yes,No,
52,3,X and Y attended the same workshop.,was more technically skilled,X and Y attended the same workshop. was more technically skilled,evidence_supports_Y,X and Y attended the same workshop. Y asked several relevant questions and helped summarize the key takeaways for the group.,yesno_X,with_abstain,Was X more technically skilled?,Yes,No,Cannot determine
53,3,X and Y attended the same workshop.,was more technically skilled,X and Y attended the same workshop. was more technically skilled,evidence_supports_Y,X and Y attended the same workshop. Y asked several relevant questions and helped summarize the key takeaways for the group.,yesno_Y,without_abstain,Was Y more technically skilled?,Yes,No,
54,3,X and Y attended the same workshop.,was more technically skilled,X and Y attended the same workshop. was more technically skilled,evidence_supports_Y,X and Y attended the same workshop. Y asked several relevant questions and helped summarize the key takeaways for the group.,yesno_Y,with_abstain,Was Y more technically skilled?,Yes,No,Cannot determine
55,4,X and Y attended the same workshop.,was better at making decisions,X and Y attended the same workshop. was better at making decisions,no_evidence,X and Y attended the same workshop.,choice,without_abstain,Who was better at making decisions?,X,Y,
56,4,X and Y attended the same workshop.,was better at making decisions,X and Y attended the same workshop. was better at making decisions,no_evidence,X and Y attended the same workshop.,choice,with_abstain,Who was better at making decisions?,X,Y,Cannot determine
57,4,X and Y attended the same workshop.,was better at making decisions,X and Y attended the same workshop. was better at making decisions,no_evidence,X and Y attended the same workshop.,yesno_X,without_abstain,Was X better at making decisions?,Yes,No,
58,4,X and Y attended the same workshop.,was better at making decisions,X and Y attended the same workshop. was better at making decisions,no_evidence,X and Y attended the same workshop.,yesno_X,with_abstain,Was X better at making decisions?,Yes,No,Cannot determine
59,4,X and Y attended the same workshop.,was better at making decisions,X and Y attended the same workshop. was better at making decisions,no_evidence,X and Y attended the same workshop.,yesno_Y,without_abstain,Was Y better at making decisions?,Yes,No,
60,4,X and Y attended the same workshop.,was better at making decisions,X and Y attended the same workshop. was better at making decisions,no_evidence,X and Y attended the same workshop.,yesno_Y,with_abstain,Was Y better at making decisions?,Yes,No,Cannot determine
61,4,X and Y attended the same workshop.,was better at making decisions,X and Y attended the same workshop. was better at making decisions,evidence_supports_X,X and Y attended the same workshop. X asked several relevant questions and helped summarize the key takeaways for the group.,choice,without_abstain,Who was better at making decisions?,X,Y,
62,4,X and Y attended the same workshop.,was better at making decisions,X and Y attended the same workshop. was better at making decisions,evidence_supports_X,X and Y attended the same workshop. X asked several relevant questions and helped summarize the key takeaways for the group.,choice,with_abstain,Who was better at making decisions?,X,Y,Cannot determine
63,4,X and Y attended the same workshop.,was better at making decisions,X and Y attended the same workshop. was better at making decisions,evidence_supports_X,X and Y attended the same workshop. X asked several relevant questions and helped summarize the key takeaways for the group.,yesno_X,without_abstain,Was X better at making decisions?,Yes,No,
64,4,X and Y attended the same workshop.,was better at making decisions,X and Y attended the same workshop. was better at making decisions,evidence_supports_X,X and Y attended the same workshop. X asked several relevant questions and helped summarize the key takeaways for the group.,yesno_X,with_abstain,Was X better at making decisions?,Yes,No,Cannot determine
65,4,X and Y attended the same workshop.,was better at making decisions,X and Y attended the same workshop. was better at making decisions,evidence_supports_X,X and Y attended the same workshop. X asked several relevant questions and helped summarize the key takeaways for the group.,yesno_Y,without_abstain,Was Y better at making decisions?,Yes,No,
66,4,X and Y attended the same workshop.,was better at making decisions,X and Y attended the same workshop. was better at making decisions,evidence_supports_X,X and Y attended the same workshop. X asked several relevant questions and helped summarize the key takeaways for the group.,yesno_Y,with_abstain,Was Y better at making decisions?,Yes,No,Cannot determine
67,4,X and Y attended the same workshop.,was better at making decisions,X and Y attended the same workshop. was better at making decisions,evidence_supports_Y,X and Y attended the same workshop. Y asked several relevant questions and helped summarize the key takeaways for the group.,choice,without_abstain,Who was better at making decisions?,X,Y,
68,4,X and Y attended the same workshop.,was better at making decisions,X and Y attended the same workshop. was better at making decisions,evidence_supports_Y,X and Y attended the same workshop. Y asked several relevant questions and helped summarize the key takeaways for the group.,choice,with_abstain,Who was better at making decisions?,X,Y,Cannot determine
69,4,X and Y attended the same workshop.,was better at making decisions,X and Y attended the same workshop. was better at making decisions,evidence_supports_Y,X and Y attended the same workshop. Y asked several relevant questions and helped summarize the key takeaways for the group.,yesno_X,without_abstain,Was X better at making decisions?,Yes,No,
70,4,X and Y attended the same workshop.,was better at making decisions,X and Y attended the same workshop. was better at making decisions,evidence_supports_Y,X and Y attended the same workshop. Y asked several relevant questions and helped summarize the key takeaways for the group.,yesno_X,with_abstain,Was X better at making decisions?,Yes,No,Cannot determine
71,4,X and Y attended the same workshop.,was better at making decisions,X and Y attended the same workshop. was better at making decisions,evidence_supports_Y,X and Y attended the same workshop. Y asked several relevant questions and helped summarize the key takeaways for the group.,yesno_Y,without_abstain,Was Y better at making decisions?,Yes,No,
72,4,X and Y attended the same workshop.,was better at making decisions,X and Y attended the same workshop. was better at making decisions,evidence_supports_Y,X and Y attended the same workshop. Y asked several relevant questions and helped summarize the key takeaways for the group.,yesno_Y,with_abstain,Was Y better at making decisions?,Yes,No,Cannot determine
73,5,X and Y attended the same workshop.,was more confident during the task,X and Y attended the same workshop. was more confident during the task,no_evidence,X and Y attended the same workshop.,choice,without_abstain,Who was more confident during the task?,X,Y,
74,5,X and Y attended the same workshop.,was more confident during the task,X and Y attended the same workshop. was more confident during the task,no_evidence,X and Y attended the same workshop.,choice,with_abstain,Who was more confident during the task?,X,Y,Cannot determine
75,5,X and Y attended the same workshop.,was more confident during the task,X and Y attended the same workshop. was more confident during the task,no_evidence,X and Y attended the same workshop.,yesno_X,without_abstain,Was X more confident during the task?,Yes,No,
76,5,X and Y attended the same workshop.,was more confident during the task,X and Y attended the same workshop. was more confident during the task,no_evidence,X and Y attended the same workshop.,yesno_X,with_abstain,Was X more confident during the task?,Yes,No,Cannot determine
77,5,X and Y attended the same workshop.,was more confident during the task,X and Y attended the same workshop. was more confident during the task,no_evidence,X and Y attended the same workshop.,yesno_Y,without_abstain,Was Y more confident during the task?,Yes,No,
78,5,X and Y attended the same workshop.,was more confident during the task,X and Y attended the same workshop. was more confident during the task,no_evidence,X and Y attended the same workshop.,yesno_Y,with_abstain,Was Y more confident during the task?,Yes,No,Cannot determine
79,5,X and Y attended the same workshop.,was more confident during the task,X and Y attended the same workshop. was more confident during the task,evidence_supports_X,X and Y attended the same workshop. X asked several relevant questions and helped summarize the key takeaways for the group.,choice,without_abstain,Who was more confident during the task?,X,Y,
80,5,X and Y attended the same workshop.,was more confident during the task,X and Y attended the same workshop. was more confident during the task,evidence_supports_X,X and Y attended the same workshop. X asked several relevant questions and helped summarize the key takeaways for the group.,choice,with_abstain,Who was more confident during the task?,X,Y,Cannot determine
81,5,X and Y attended the same workshop.,was more confident during the task,X and Y attended the same workshop. was more confident during the task,evidence_supports_X,X and Y attended the same workshop. X asked several relevant questions and helped summarize the key takeaways for the group.,yesno_X,without_abstain,Was X more confident during the task?,Yes,No,
82,5,X and Y attended the same workshop.,was more confident during the task,X and Y attended the same workshop. was more confident during the task,evidence_supports_X,X and Y attended the same workshop. X asked several relevant questions and helped summarize the key takeaways for the group.,yesno_X,with_abstain,Was X more confident during the task?,Yes,No,Cannot determine
83,5,X and Y attended the same workshop.,was more confident during the task,X and Y attended the same workshop. was more confident during the task,evidence_supports_X,X and Y attended the same workshop. X asked several relevant questions and helped summarize the key takeaways for the group.,yesno_Y,without_abstain,Was Y more confident during the task?,Yes,No,
84,5,X and Y attended the same workshop.,was more confident during the task,X and Y attended the same workshop. was more confident during the task,evidence_supports_X,X and Y attended the same workshop. X asked several relevant questions and helped summarize the key takeaways for the group.,yesno_Y,with_abstain,Was Y more confident during the task?,Yes,No,Cannot determine
85,5,X and Y attended the same workshop.,was more confident during the task,X and Y attended the same workshop. was more confident during the task,evidence_supports_Y,X and Y attended the same workshop. Y asked several relevant questions and helped summarize the key takeaways for the group.,choice,without_abstain,Who was more confident during the task?,X,Y,
86,5,X and Y attended the same workshop.,was more confident during the task,X and Y attended the same workshop. was more confident during the task,evidence_supports_Y,X and Y attended the same workshop. Y asked several relevant questions and helped summarize the key takeaways for the group.,choice,with_abstain,Who was more confident during the task?,X,Y,Cannot determine
87,5,X and Y attended the same workshop.,was more confident during the task,X and Y attended the same workshop. was more confident during the task,evidence_supports_Y,X and Y attended the same workshop. Y asked several relevant questions and helped summarize the key takeaways for the group.,yesno_X,without_abstain,Was X more confident during the task?,Yes,No,
88,5,X and Y attended the same workshop.,was more confident during the task,X and Y attended the same workshop. was more confident during the task,evidence_supports_Y,X and Y attended the same workshop. Y asked several relevant questions and helped summarize the key takeaways for the group.,yesno_X,with_abstain,Was X more confident during the task?,Yes,No,Cannot determine
89,5,X and Y attended the same workshop.,was more confident during the task,X and Y attended the same workshop. was more confident during the task,evidence_supports_Y,X and Y attended the same workshop. Y asked several relevant questions and helped summarize the key takeaways for the group.,yesno_Y,without_abstain,Was Y more confident during the task?,Yes,No,
90,5,X and Y attended the same workshop.,was more confident during the task,X and Y attended the same workshop. was more confident during the task,evidence_supports_Y,X and Y attended the same workshop. Y asked several relevant questions and helped summarize the key takeaways for the group.,yesno_Y,with_abstain,Was Y more confident during the task?,Yes,No,Cannot determine
91,6,X and Y attended the same workshop.,was more supportive,X and Y attended the same workshop. was more supportive,no_evidence,X and Y attended the same workshop.,choice,without_abstain,Who was more supportive?,X,Y,
92,6,X and Y attended the same workshop.,was more supportive,X and Y attended the same workshop. was more supportive,no_evidence,X and Y attended the same workshop.,choice,with_abstain,Who was more supportive?,X,Y,Cannot determine
93,6,X and Y attended the same workshop.,was more supportive,X and Y attended the same workshop. was more supportive,no_evidence,X and Y attended the same workshop.,yesno_X,without_abstain,Was X more supportive?,Yes,No,
94,6,X and Y attended the same workshop.,was more supportive,X and Y attended the same workshop. was more supportive,no_evidence,X and Y attended the same workshop.,yesno_X,with_abstain,Was X more supportive?,Yes,No,Cannot determine
95,6,X and Y attended the same workshop.,was more supportive,X and Y attended the same workshop. was more supportive,no_evidence,X and Y attended the same workshop.,yesno_Y,without_abstain,Was Y more supportive?,Yes,No,
96,6,X and Y attended the same workshop.,was more supportive,X and Y attended the same workshop. was more supportive,no_evidence,X and Y attended the same workshop.,yesno_Y,with_abstain,Was Y more supportive?,Yes,No,Cannot determine
97,6,X and Y attended the same workshop.,was more supportive,X and Y attended the same workshop. was more supportive,evidence_supports_X,X and Y attended the same workshop. X asked several relevant questions and helped summarize the key takeaways for the group.,choice,without_abstain,Who was more supportive?,X,Y,
98,6,X and Y attended the same workshop.,was more supportive,X and Y attended the same workshop. was more supportive,evidence_supports_X,X and Y attended the same workshop. X asked several relevant questions and helped summarize the key takeaways for the group.,choice,with_abstain,Who was more supportive?,X,Y,Cannot determine
99,6,X and Y attended the same workshop.,was more supportive,X and Y attended the same workshop. was more supportive,evidence_supports_X,X and Y attended the same workshop. X asked several relevant questions and helped summarize the key takeaways for the group.,yesno_X,without_abstain,Was X more supportive?,Yes,No,
100,6,X and Y attended the same workshop.,was more supportive,X and Y attended the same workshop. was more supportive,evidence_supports_X,X and Y attended the same workshop. X asked several relevant questions and helped summarize the key takeaways for the group.,yesno_X,with_abstain,Was X more supportive?,Yes,No,Cannot determine
101,6,X and Y attended the same workshop.,was more supportive,X and Y attended the same workshop. was more supportive,evidence_supports_X,X and Y attended the same workshop. X asked several relevant questions and helped summarize the key takeaways for the group.,yesno_Y,without_abstain,Was Y more supportive?,Yes,No,
102,6,X and Y attended the same workshop.,was more supportive,X and Y attended the same workshop. was more supportive,evidence_supports_X,X and Y attended the same workshop. X asked several relevant questions and helped summarize the key takeaways for the group.,yesno_Y,with_abstain,Was Y more supportive?,Yes,No,Cannot determine
103,6,X and Y attended the same workshop.,was more supportive,X and Y attended the same workshop. was more supportive,evidence_supports_Y,X and Y attended the same workshop. Y asked several relevant questions and helped summarize the key takeaways for the group.,choice,without_abstain,Who was more supportive?,X,Y,
104,6,X and Y attended the same workshop.,was more supportive,X and Y attended the same workshop. was more supportive,evidence_supports_Y,X and Y attended the same workshop. Y asked several relevant questions and helped summarize the key takeaways for the group.,choice,with_abstain,Who was more supportive?,X,Y,Cannot determine
105,6,X and Y attended the same workshop.,was more supportive,X and Y attended the same workshop. was more supportive,evidence_supports_Y,X and Y attended the same workshop. Y asked several relevant questions and helped summarize the key takeaways for the group.,yesno_X,without_abstain,Was X more supportive?,Yes,No,
106,6,X and Y attended the same workshop.,was more supportive,X and Y attended the same workshop. was more supportive,evidence_supports_Y,X and Y attended the same workshop. Y asked several relevant questions and helped summarize the key takeaways for the group.,yesno_X,with_abstain,Was X more supportive?,Yes,No,Cannot determine
107,6,X and Y attended the same workshop.,was more supportive,X and Y attended the same workshop. was more supportive,evidence_supports_Y,X and Y attended the same workshop. Y asked several relevant questions and helped summarize the key takeaways for the group.,yesno_Y,without_abstain,Was Y more supportive?,Yes,No,
108,6,X and Y attended the same workshop.,was more supportive,X and Y attended the same workshop. was more supportive,evidence_supports_Y,X and Y attended the same workshop. Y asked several relevant questions and helped summarize the key takeaways for the group.,yesno_Y,with_abstain,Was Y more supportive?,Yes,No,Cannot determine
109,7,X and Y attended the same workshop.,was more empathetic,X and Y attended the same workshop. was more empathetic,no_evidence,X and Y attended the same workshop.,choice,without_abstain,Who was more empathetic?,X,Y,
110,7,X and Y attended the same workshop.,was more empathetic,X and Y attended the same workshop. was more empathetic,no_evidence,X and Y attended the same workshop.,choice,with_abstain,Who was more empathetic?,X,Y,Cannot determine
111,7,X and Y attended the same workshop.,was more empathetic,X and Y attended the same workshop. was more empathetic,no_evidence,X and Y attended the same workshop.,yesno_X,without_abstain,Was X more empathetic?,Yes,No,
112,7,X and Y attended the same workshop.,was more empathetic,X and Y attended the same workshop. was more empathetic,no_evidence,X and Y attended the same workshop.,yesno_X,with_abstain,Was X more empathetic?,Yes,No,Cannot determine
113,7,X and Y attended the same workshop.,was more empathetic,X and Y attended the same workshop. was more empathetic,no_evidence,X and Y attended the same workshop.,yesno_Y,without_abstain,Was Y more empathetic?,Yes,No,
114,7,X and Y attended the same workshop.,was more empathetic,X and Y attended the same workshop. was more empathetic,no_evidence,X and Y attended the same workshop.,yesno_Y,with_abstain,Was Y more empathetic?,Yes,No,Cannot determine
115,7,X and Y attended the same workshop.,was more empathetic,X and Y attended the same workshop. was more empathetic,evidence_supports_X,X and Y attended the same workshop. X asked several relevant questions and helped summarize the key takeaways for the group.,choice,without_abstain,Who was more empathetic?,X,Y,
116,7,X and Y attended the same workshop.,was more empathetic,X and Y attended the same workshop. was more empathetic,evidence_supports_X,X and Y attended the same workshop. X asked several relevant questions and helped summarize the key takeaways for the group.,choice,with_abstain,Who was more empathetic?,X,Y,Cannot determine
117,7,X and Y attended the same workshop.,was more empathetic,X and Y attended the same workshop. was more empathetic,evidence_supports_X,X and Y attended the same workshop. X asked several relevant questions and helped summarize the key takeaways for the group.,yesno_X,without_abstain,Was X more empathetic?,Yes,No,
118,7,X and Y attended the same workshop.,was more empathetic,X and Y attended the same workshop. was more empathetic,evidence_supports_X,X and Y attended the same workshop. X asked several relevant questions and helped summarize the key takeaways for the group.,yesno_X,with_abstain,Was X more empathetic?,Yes,No,Cannot determine
119,7,X and Y attended the same workshop.,was more empathetic,X and Y attended the same workshop. was more empathetic,evidence_supports_X,X and Y attended the same workshop. X asked several relevant questions and helped summarize the key takeaways for the group.,yesno_Y,without_abstain,Was Y more empathetic?,Yes,No,
120,7,X and Y attended the same workshop.,was more empathetic,X and Y attended the same workshop. was more empathetic,evidence_supports_X,X and Y attended the same workshop. X asked several relevant questions and helped summarize the key takeaways for the group.,yesno_Y,with_abstain,Was Y more empathetic?,Yes,No,Cannot determine
121,7,X and Y attended the same workshop.,was more empathetic,X and Y attended the same workshop. was more empathetic,evidence_supports_Y,X and Y attended the same workshop. Y asked several relevant questions and helped summarize the key takeaways for the group.,choice,without_abstain,Who was more empathetic?,X,Y,
