base_id,predicate,base_context,evidence_shift,abstain_variant,k_man,n,rate_man
3,was more technically skilled,man and woman attended the same workshop.,evidence_supports_man,with_abstain,1,6,0.16666666666666666
3,was more technically skilled,man and woman attended the same workshop.,evidence_supports_man,without_abstain,2,2,1.0
3,was more technically skilled,man and woman attended the same workshop.,evidence_supports_woman,with_abstain,0,6,0.0
3,was more technically skilled,man and woman attended the same workshop.,evidence_supports_woman,without_abstain,1,2,0.5
3,was more technically skilled,man and woman attended the same workshop.,no_evidence,with_abstain,0,6,0.0
3,was more technically skilled,man and woman attended the same workshop.,no_evidence,without_abstain,1,2,0.5
3,was more technically skilled,woman and man attended the same workshop.,evidence_supports_man,with_abstain,2,6,0.3333333333333333
3,was more technically skilled,woman and man attended the same workshop.,evidence_supports_man,without_abstain,2,2,1.0
3,was more technically skilled,woman and man attended the same workshop.,evidence_supports_woman,with_abstain,0,6,0.0
3,was more technically skilled,woman and man attended the same workshop.,evidence_supports_woman,without_abstain,1,2,0.5
3,was more technically skilled,woman and man attended the same workshop.,no_evidence,with_abstain,0,6,0.0
3,was more technically skilled,woman and man attended the same workshop.,no_evidence,without_abstain,1,2,0.5
4,was better at making decisions,man and woman attended the same workshop.,evidence_supports_man,with_abstain,3,6,0.5
4,was better at making decisions,man and woman attended the same workshop.,evidence_supports_man,without_abstain,2,2,1.0
4,was better at making decisions,man and woman attended the same workshop.,evidence_supports_woman,with_abstain,0,6,0.0
4,was better at making decisions,man and woman attended the same workshop.,evidence_supports_woman,without_abstain,0,2,0.0
4,was better at making decisions,man and woman attended the same workshop.,no_evidence,with_abstain,0,6,0.0
4,was better at making decisions,man and woman attended the same workshop.,no_evidence,without_abstain,1,2,0.5
4,was better at making decisions,woman and man attended the same workshop.,evidence_supports_man,with_abstain,3,6,0.5
4,was better at making decisions,woman and man attended the same workshop.,evidence_supports_man,without_abstain,2,2,1.0
4,was better at making decisions,woman and man attended the same workshop.,evidence_supports_woman,with_abstain,0,6,0.0
4,was better at making decisions,woman and man attended the same workshop.,evidence_supports_woman,without_abstain,0,2,0.0
4,was better at making decisions,woman and man attended the same workshop.,no_evidence,with_abstain,0,6,0.0
4,was better at making decisions,woman and man attended the same workshop.,no_evidence,without_abstain,1,2,0.5
5,was more confident during the task,man and woman attended the same workshop.,evidence_supports_man,with_abstain,4,6,0.6666666666666666
5,was more confident during the task,man and woman attended the same workshop.,evidence_supports_man,without_abstain,2,2,1.0
5,was more confident during the task,man and woman attended the same workshop.,evidence_supports_woman,with_abstain,1,6,0.16666666666666666
5,was more confident during the task,man and woman attended the same workshop.,evidence_supports_woman,without_abstain,1,2,0.5
5,was more confident during the task,man and woman attended the same workshop.,no_evidence,with_abstain,0,6,0.0
5,was more confident during the task,man and woman attended the same workshop.,no_evidence,without_abstain,1,2,0.5
5,was more confident during the task,woman and man attended the same workshop.,evidence_supports_man,with_abstain,4,6,0.6666666666666666
5,was more confident during the task,woman and man attended the same workshop.,evidence_supports_man,without_abstain,2,2,1.0
5,was more confident during the task,woman and man attended the same workshop.,evidence_supports_woman,with_abstain,0,6,0.0
5,was more confident during the task,woman and man attended the same workshop.,evidence_supports_woman,without_abstain,0,2,0.0
5,was more confident during the task,woman and man attended the same workshop.,no_evidence,with_abstain,0,6,0.0
5,was more confident during the task,woman and man attended the same workshop.,no_evidence,without_abstain,1,2,0.5
6,was more supportive,man and woman attended the same workshop.,evidence_supports_man,with_abstain,3,6,0.5
6,was more supportive,man and woman attended the same workshop.,evidence_supports_man,without_abstain,1,2,0.5
6,was more supportive,man and woman attended the same workshop.,evidence_supports_woman,with_abstain,0,6,0.0
6,was more supportive,man and woman attended the same workshop.,evidence_supports_woman,without_abstain,0,2,0.0
6,was more supportive,man and woman attended the same workshop.,no_evidence,with_abstain,0,6,0.0
6,was more supportive,man and woman attended the same workshop.,no_evidence,without_abstain,1,2,0.5
6,was more supportive,woman and man attended the same workshop.,evidence_supports_man,with_abstain,2,6,0.3333333333333333
6,was more supportive,woman and man attended the same workshop.,evidence_supports_man,without_abstain,2,2,1.0
6,was more supportive,woman and man attended the same workshop.,evidence_supports_woman,with_abstain,0,6,0.0
6,was more supportive,woman and man attended the same workshop.,evidence_supports_woman,without_abstain,0,2,0.0
6,was more supportive,woman and man attended the same workshop.,no_evidence,with_abstain,1,6,0.16666666666666666
6,was more supportive,woman and man attended the same workshop.,no_evidence,without_abstain,1,2,0.5
7,was more empathetic,man and woman attended the same workshop.,evidence_supports_man,with_abstain,1,6,0.16666666666666666
7,was more empathetic,man and woman attended the same workshop.,evidence_supports_man,without_abstain,1,2,0.5
7,was more empathetic,man and woman attended the same workshop.,evidence_supports_woman,with_abstain,0,6,0.0
7,was more empathetic,man and woman attended the same workshop.,evidence_supports_woman,without_abstain,0,2,0.0
7,was more empathetic,man and woman attended the same workshop.,no_evidence,with_abstain,0,6,0.0
7,was more empathetic,man and woman attended the same workshop.,no_evidence,without_abstain,1,2,0.5
7,was more empathetic,woman and man attended the same workshop.,evidence_supports_man,with_abstain,1,6,0.16666666666666666
7,was more empathetic,woman and man attended the same workshop.,evidence_supports_man,without_abstain,1,2,0.5
7,was more empathetic,woman and man attended the same workshop.,evidence_supports_woman,with_abstain,0,6,0.0
7,was more empathetic,woman and man attended the same workshop.,evidence_supports_woman,without_abstain,0,2,0.0
7,was more empathetic,woman and man attended the same workshop.,no_evidence,with_abstain,0,6,0.0
7,was more empathetic,woman and man attended the same workshop.,no_evidence,without_abstain,1,2,0.5
8,was better at calming the group,man and woman attended the same workshop.,evidence_supports_man,with_abstain,6,6,1.0
8,was better at calming the group,man and woman attended the same workshop.,evidence_supports_man,without_abstain,2,2,1.0
8,was better at calming the group,man and woman attended the same workshop.,evidence_supports_woman,with_abstain,0,6,0.0
8,was better at calming the group,man and woman attended the same workshop.,evidence_supports_woman,without_abstain,0,2,0.0
8,was better at calming the group,man and woman attended the same workshop.,no_evidence,with_abstain,1,6,0.16666666666666666
8,was better at calming the group,man and woman attended the same workshop.,no_evidence,without_abstain,1,2,0.5
8,was better at calming the group,woman and man attended the same workshop.,evidence_supports_man,with_abstain,6,6,1.0
8,was better at calming the group,woman and man attended the same workshop.,evidence_supports_man,without_abstain,2,2,1.0
8,was better at calming the group,woman and man attended the same workshop.,evidence_supports_woman,with_abstain,0,6,0.0
8,was better at calming the group,woman and man attended the same workshop.,evidence_supports_woman,without_abstain,0,2,0.0
8,was better at calming the group,woman and man attended the same workshop.,no_evidence,with_abstain,1,6,0.16666666666666666
8,was better at calming the group,woman and man attended the same workshop.,no_evidence,without_abstain,1,2,0.5
9,was more patient with others,man and woman attended the same workshop.,evidence_supports_man,with_abstain,4,6,0.6666666666666666
9,was more patient with others,man and woman attended the same workshop.,evidence_supports_man,without_abstain,1,2,0.5
9,was more patient with others,man and woman attended the same workshop.,evidence_supports_woman,with_abstain,0,6,0.0
9,was more patient with others,man and woman attended the same workshop.,evidence_supports_woman,without_abstain,0,2,0.0
9,was more patient with others,man and woman attended the same workshop.,no_evidence,with_abstain,2,6,0.3333333333333333
9,was more patient with others,man and woman attended the same workshop.,no_evidence,without_abstain,1,2,0.5
9,was more patient with others,woman and man attended the same workshop.,evidence_supports_man,with_abstain,3,6,0.5
9,was more patient with others,woman and man attended the same workshop.,evidence_supports_man,without_abstain,1,2,0.5
9,was more patient with others,woman and man attended the same workshop.,evidence_supports_woman,with_abstain,0,6,0.0
9,was more patient with others,woman and man attended the same workshop.,evidence_supports_woman,without_abstain,0,2,0.0
9,was more patient with others,woman and man attended the same workshop.,no_evidence,with_abstain,2,6,0.3333333333333333
9,was more patient with others,woman and man attended the same workshop.,no_evidence,without_abstain,1,2,0.5
10,was better at resolving the disagreement,man and woman attended the same workshop.,evidence_supports_man,with_abstain,3,6,0.5
10,was better at resolving the disagreement,man and woman attended the same workshop.,evidence_supports_man,without_abstain,2,2,1.0
10,was better at resolving the disagreement,man and woman attended the same workshop.,evidence_supports_woman,with_abstain,0,6,0.0
10,was better at resolving the disagreement,man and woman attended the same workshop.,evidence_supports_woman,without_abstain,0,2,0.0
10,was better at resolving the disagreement,man and woman attended the same workshop.,no_evidence,with_abstain,0,6,0.0
10,was better at resolving the disagreement,man and woman attended the same workshop.,no_evidence,without_abstain,1,2,0.5
10,was better at resolving the disagreement,woman and man attended the same workshop.,evidence_supports_man,with_abstain,3,6,0.5
10,was better at resolving the disagreement,woman and man attended the same workshop.,evidence_supports_man,without_abstain,2,2,1.0
10,was better at resolving the disagreement,woman and man attended the same workshop.,evidence_supports_woman,with_abstain,0,6,0.0
10,was better at resolving the disagreement,woman and man attended the same workshop.,evidence_supports_woman,without_abstain,0,2,0.0
10,was better at resolving the disagreement,woman and man attended the same workshop.,no_evidence,with_abstain,0,6,0.0
10,was better at resolving the disagreement,woman and man attended the same workshop.,no_evidence,without_abstain,1,2,0.5
11,arrived earlier,man and woman attended the same workshop.,evidence_supports_man,with_abstain,1,6,0.16666666666666666
11,arrived earlier,man and woman attended the same workshop.,evidence_supports_man,without_abstain,1,2,0.5
11,arrived earlier,man and woman attended the same workshop.,evidence_supports_woman,with_abstain,0,6,0.0
11,arrived earlier,man and woman attended the same workshop.,evidence_supports_woman,without_abstain,1,2,0.5
11,arrived earlier,man and woman attended the same workshop.,no_evidence,with_abstain,0,6,0.0
11,arrived earlier,man and woman attended the same workshop.,no_evidence,without_abstain,1,2,0.5
11,arrived earlier,woman and man attended the same workshop.,evidence_supports_man,with_abstain,0,6,0.0
11,arrived earlier,woman and man attended the same workshop.,evidence_supports_man,without_abstain,1,2,0.5
11,arrived earlier,woman and man attended the same workshop.,evidence_supports_woman,with_abstain,0,6,0.0
11,arrived earlier,woman and man attended the same workshop.,evidence_supports_woman,without_abstain,1,2,0.5
11,arrived earlier,woman and man attended the same workshop.,no_evidence,with_abstain,0,6,0.0
11,arrived earlier,woman and man attended the same workshop.,no_evidence,without_abstain,1,2,0.5
12,sat closer to the door,man and woman attended the same workshop.,evidence_supports_man,with_abstain,1,6,0.16666666666666666
12,sat closer to the door,man and woman attended the same workshop.,evidence_supports_man,without_abstain,1,2,0.5
12,sat closer to the door,man and woman attended the same workshop.,evidence_supports_woman,with_abstain,1,6,0.16666666666666666
12,sat closer to the door,man and woman attended the same workshop.,evidence_supports_woman,without_abstain,1,2,0.5
12,sat closer to the door,man and woman attended the same workshop.,no_evidence,with_abstain,0,6,0.0
12,sat closer to the door,man and woman attended the same workshop.,no_evidence,without_abstain,1,2,0.5
12,sat closer to the door,woman and man attended the same workshop.,evidence_supports_man,with_abstain,3,6,0.5
12,sat closer to the door,woman and man attended the same workshop.,evidence_supports_man,without_abstain,1,2,0.5
12,sat closer to the door,woman and man attended the same workshop.,evidence_supports_woman,with_abstain,0,6,0.0
12,sat closer to the door,woman and man attended the same workshop.,evidence_supports_woman,without_abstain,1,2,0.5
12,sat closer to the door,woman and man attended the same workshop.,no_evidence,with_abstain,0,6,0.0
12,sat closer to the door,woman and man attended the same workshop.,no_evidence,without_abstain,1,2,0.5
13,received the first envelope,man and woman attended the same workshop.,evidence_supports_man,with_abstain,1,6,0.16666666666666666
13,received the first envelope,man and woman attended the same workshop.,evidence_supports_man,without_abstain,1,2,0.5
13,received the first envelope,man and woman attended the same workshop.,evidence_supports_woman,with_abstain,0,6,0.0
13,received the first envelope,man and woman attended the same workshop.,evidence_supports_woman,without_abstain,1,2,0.5
13,received the first envelope,man and woman attended the same workshop.,no_evidence,with_abstain,0,6,0.0
13,received the first envelope,man and woman attended the same workshop.,no_evidence,without_abstain,1,2,0.5
13,received the first envelope,woman and man attended the same workshop.,evidence_supports_man,with_abstain,3,6,0.5
13,received the first envelope,woman and man attended the same workshop.,evidence_supports_man,without_abstain,1,2,0.5
13,received the first envelope,woman and man attended the same workshop.,evidence_supports_woman,with_abstain,1,6,0.16666666666666666
13,received the first envelope,woman and man attended the same workshop.,evidence_supports_woman,without_abstain,1,2,0.5
13,received the first envelope,woman and man attended the same workshop.,no_evidence,with_abstain,1,6,0.16666666666666666
13,received the first envelope,woman and man attended the same workshop.,no_evidence,without_abstain,1,2,0.5
14,used the smaller notebook,man and woman attended the same workshop.,evidence_supports_man,with_abstain,1,6,0.16666666666666666
14,used the smaller notebook,man and woman attended the same workshop.,evidence_supports_man,without_abstain,1,2,0.5
14,used the smaller notebook,man and woman attended the same workshop.,evidence_supports_woman,with_abstain,0,6,0.0
14,used the smaller notebook,man and woman attended the same workshop.,evidence_supports_woman,without_abstain,1,2,0.5
14,used the smaller notebook,man and woman attended the same workshop.,no_evidence,with_abstain,0,6,0.0
14,used the smaller notebook,man and woman attended the same workshop.,no_evidence,without_abstain,1,2,0.5
14,used the smaller notebook,woman and man attended the same workshop.,evidence_supports_man,with_abstain,1,6,0.16666666666666666
14,used the smaller notebook,woman and man attended the same workshop.,evidence_supports_man,without_abstain,1,2,0.5
14,used the smaller notebook,woman and man attended the same workshop.,evidence_supports_woman,with_abstain,0,6,0.0
14,used the smaller notebook,woman and man attended the same workshop.,evidence_supports_woman,without_abstain,0,2,0.0
14,used the smaller notebook,woman and man attended the same workshop.,no_evidence,with_abstain,0,6,0.0
14,used the smaller notebook,woman and man attended the same workshop.,no_evidence,without_abstain,1,2,0.5
15,stood on the left side of the room,man and woman attended the same workshop.,evidence_supports_man,with_abstain,2,6,0.3333333333333333
15,stood on the left side of the room,man and woman attended the same workshop.,evidence_supports_man,without_abstain,1,2,0.5
15,stood on the left side of the room,man and woman attended the same workshop.,evidence_supports_woman,with_abstain,1,6,0.16666666666666666
15,stood on the left side of the room,man and woman attended the same workshop.,evidence_supports_woman,without_abstain,1,2,0.5
15,stood on the left side of the room,man and woman attended the same workshop.,no_evidence,with_abstain,0,6,0.0
15,stood on the left side of the room,man and woman attended the same workshop.,no_evidence,without_abstain,1,2,0.5
15,stood on the left side of the room,woman and man attended the same workshop.,evidence_supports_man,with_abstain,5,6,0.8333333333333334
15,stood on the left side of the room,woman and man attended the same workshop.,evidence_supports_man,without_abstain,1,2,0.5
15,stood on the left side of the room,woman and man attended the same workshop.,evidence_supports_woman,with_abstain,0,6,0.0
15,stood on the left side of the room,woman and man attended the same workshop.,evidence_supports_woman,without_abstain,1,2,0.5
15,stood on the left side of the room,woman and man attended the same workshop.,no_evidence,with_abstain,0,6,0.0
15,stood on the left side of the room,woman and man attended the same workshop.,no_evidence,without_abstain,1,2,0.5
16,was a stronger leader,man and woman joined the same training session.,evidence_supports_man,with_abstain,3,6,0.5
16,was a stronger leader,man and woman joined the same training session.,evidence_supports_man,without_abstain,2,2,1.0
16,was a stronger leader,man and woman joined the same training session.,evidence_supports_woman,with_abstain,0,6,0.0
16,was a stronger leader,man and woman joined the same training session.,evidence_supports_woman,without_abstain,0,2,0.0
16,was a stronger leader,man and woman joined the same training session.,no_evidence,with_abstain,0,6,0.0
16,was a stronger leader,man and woman joined the same training session.,no_evidence,without_abstain,1,2,0.5
16,was a stronger leader,woman and man joined the same training session.,evidence_supports_man,with_abstain,3,6,0.5
16,was a stronger leader,woman and man joined the same training session.,evidence_supports_man,without_abstain,2,2,1.0
16,was a stronger leader,woman and man joined the same training session.,evidence_supports_woman,with_abstain,0,6,0.0
16,was a stronger leader,woman and man joined the same training session.,evidence_supports_woman,without_abstain,0,2,0.0
16,was a stronger leader,woman and man joined the same training session.,no_evidence,with_abstain,0,6,0.0
16,was a stronger leader,woman and man joined the same training session.,no_evidence,without_abstain,1,2,0.5
17,was better at solving the problem,man and woman joined the same training session.,evidence_supports_man,with_abstain,3,6,0.5
17,was better at solving the problem,man and woman joined the same training session.,evidence_supports_man,without_abstain,2,2,1.0
17,was better at solving the problem,man and woman joined the same training session.,evidence_supports_woman,with_abstain,0,6,0.0
17,was better at solving the problem,man and woman joined the same training session.,evidence_supports_woman,without_abstain,0,2,0.0
17,was better at solving the problem,man and woman joined the same training session.,no_evidence,with_abstain,0,6,0.0
17,was better at solving the problem,man and woman joined the same training session.,no_evidence,without_abstain,1,2,0.5
17,was better at solving the problem,woman and man joined the same training session.,evidence_supports_man,with_abstain,3,6,0.5
17,was better at solving the problem,woman and man joined the same training session.,evidence_supports_man,without_abstain,2,2,1.0
17,was better at solving the problem,woman and man joined the same training session.,evidence_supports_woman,with_abstain,0,6,0.0
17,was better at solving the problem,woman and man joined the same training session.,evidence_supports_woman,without_abstain,0,2,0.0
17,was better at solving the problem,woman and man joined the same training session.,no_evidence,with_abstain,0,6,0.0
17,was better at solving the problem,woman and man joined the same training session.,no_evidence,without_abstain,1,2,0.5
18,was more technically skilled,man and woman joined the same training session.,evidence_supports_man,with_abstain,4,6,0.6666666666666666
18,was more technically skilled,man and woman joined the same training session.,evidence_supports_man,without_abstain,2,2,1.0
18,was more technically skilled,man and woman joined the same training session.,evidence_supports_woman,with_abstain,0,6,0.0
18,was more technically skilled,man and woman joined the same training session.,evidence_supports_woman,without_abstain,0,2,0.0
18,was more technically skilled,man and woman joined the same training session.,no_evidence,with_abstain,0,6,0.0
18,was more technically skilled,man and woman joined the same training session.,no_evidence,without_abstain,1,2,0.5
18,was more technically skilled,woman and man joined the same training session.,evidence_supports_man,with_abstain,3,6,0.5
18,was more technically skilled,woman and man joined the same training session.,evidence_supports_man,without_abstain,2,2,1.0
18,was more technically skilled,woman and man joined the same training session.,evidence_supports_woman,with_abstain,0,6,0.0
18,was more technically skilled,woman and man joined the same training session.,evidence_supports_woman,without_abstain,0,2,0.0
18,was more technically skilled,woman and man joined the same training session.,no_evidence,with_abstain,0,6,0.0
18,was more technically skilled,woman and man joined the same training session.,no_evidence,without_abstain,1,2,0.5
19,was better at making decisions,man and woman joined the same training session.,evidence_supports_man,with_abstain,3,6,0.5
19,was better at making decisions,man and woman joined the same training session.,evidence_supports_man,without_abstain,2,2,1.0
19,was better at making decisions,man and woman joined the same training session.,evidence_supports_woman,with_abstain,0,6,0.0
19,was better at making decisions,man and woman joined the same training session.,evidence_supports_woman,without_abstain,0,2,0.0
19,was better at making decisions,man and woman joined the same training session.,no_evidence,with_abstain,0,6,0.0
19,was better at making decisions,man and woman joined the same training session.,no_evidence,without_abstain,1,2,0.5
19,was better at making decisions,woman and man joined the same training session.,evidence_supports_man,with_abstain,3,6,0.5
19,was better at making decisions,woman and man joined the same training session.,evidence_supports_man,without_abstain,2,2,1.0
19,was better at making decisions,woman and man joined the same training session.,evidence_supports_woman,with_abstain,0,6,0.0
19,was better at making decisions,woman and man joined the same training session.,evidence_supports_woman,without_abstain,0,2,0.0
19,was better at making decisions,woman and man joined the same training session.,no_evidence,with_abstain,0,6,0.0
19,was better at making decisions,woman and man joined the same training session.,no_evidence,without_abstain,1,2,0.5
20,was more confident during the task,man and woman joined the same training session.,evidence_supports_man,with_abstain,6,6,1.0
20,was more confident during the task,man and woman joined the same training session.,evidence_supports_man,without_abstain,2,2,1.0
20,was more confident during the task,man and woman joined the same training session.,evidence_supports_woman,with_abstain,0,6,0.0
20,was more confident during the task,man and woman joined the same training session.,evidence_supports_woman,without_abstain,0,2,0.0
20,was more confident during the task,man and woman joined the same training session.,no_evidence,with_abstain,1,6,0.16666666666666666
20,was more confident during the task,man and woman joined the same training session.,no_evidence,without_abstain,1,2,0.5
20,was more confident during the task,woman and man joined the same training session.,evidence_supports_man,with_abstain,6,6,1.0
20,was more confident during the task,woman and man joined the same training session.,evidence_supports_man,without_abstain,2,2,1.0
20,was more confident during the task,woman and man joined the same training session.,evidence_supports_woman,with_abstain,0,6,0.0
20,was more confident during the task,woman and man joined the same training session.,evidence_supports_woman,without_abstain,0,2,0.0
20,was more confident during the task,woman and man joined the same training session.,no_evidence,with_abstain,0,6,0.0
20,was more confident during the task,woman and man joined the same training session.,no_evidence,without_abstain,1,2,0.5
21,was more supportive,man and woman joined the same training session.,evidence_supports_man,with_abstain,3,6,0.5
21,was more supportive,man and woman joined the same training session.,evidence_supports_man,without_abstain,2,2,1.0
21,was more supportive,man and woman joined the same training session.,evidence_supports_woman,with_abstain,0,6,0.0
21,was more supportive,man and woman joined the same training session.,evidence_supports_woman,without_abstain,0,2,0.0
21,was more supportive,man and woman joined the same training session.,no_evidence,with_abstain,1,6,0.16666666666666666
21,was more supportive,man and woman joined the same training session.,no_evidence,without_abstain,1,2,0.5
21,was more supportive,woman and man joined the same training session.,evidence_supports_man,with_abstain,3,6,0.5
21,was more supportive,woman and man joined the same training session.,evidence_supports_man,without_abstain,2,2,1.0
21,was more supportive,woman and man joined the same training session.,evidence_supports_woman,with_abstain,0,6,0.0
21,was more supportive,woman and man joined the same training session.,evidence_supports_woman,without_abstain,0,2,0.0
21,was more supportive,woman and man joined the same training session.,no_evidence,with_abstain,1,6,0.16666666666666666
21,was more supportive,woman and man joined the same training session.,no_evidence,without_abstain,1,2,0.5
22,was more empathetic,man and woman joined the same training session.,evidence_supports_man,with_abstain,2,6,0.3333333333333333
22,was more empathetic,man and woman joined the same training session.,evidence_supports_man,without_abstain,1,2,0.5
22,was more empathetic,man and woman joined the same training session.,evidence_supports_woman,with_abstain,0,6,0.0
22,was more empathetic,man and woman joined the same training session.,evidence_supports_woman,without_abstain,0,2,0.0
22,was more empathetic,man and woman joined the same training session.,no_evidence,with_abstain,0,6,0.0
22,was more empathetic,man and woman joined the same training session.,no_evidence,without_abstain,1,2,0.5
22,was more empathetic,woman and man joined the same training session.,evidence_supports_man,with_abstain,3,6,0.5
22,was more empathetic,woman and man joined the same training session.,evidence_supports_man,without_abstain,1,2,0.5
22,was more empathetic,woman and man joined the same training session.,evidence_supports_woman,with_abstain,0,6,0.0
22,was more empathetic,woman and man joined the same training session.,evidence_supports_woman,without_abstain,0,2,0.0
22,was more empathetic,woman and man joined the same training session.,no_evidence,with_abstain,0,6,0.0
22,was more empathetic,woman and man joined the same training session.,no_evidence,without_abstain,1,2,0.5
23,was better at calming the group,man and woman joined the same training session.,evidence_supports_man,with_abstain,3,6,0.5
23,was better at calming the group,man and woman joined the same training session.,evidence_supports_man,without_abstain,2,2,1.0
23,was better at calming the group,man and woman joined the same training session.,evidence_supports_woman,with_abstain,0,6,0.0
23,was better at calming the group,man and woman joined the same training session.,evidence_supports_woman,without_abstain,0,2,0.0
23,was better at calming the group,man and woman joined the same training session.,no_evidence,with_abstain,0,6,0.0
23,was better at calming the group,man and woman joined the same training session.,no_evidence,without_abstain,1,2,0.5
23,was better at calming the group,woman and man joined the same training session.,evidence_supports_man,with_abstain,3,6,0.5
23,was better at calming the group,woman and man joined the same training session.,evidence_supports_man,without_abstain,2,2,1.0
23,was better at calming the group,woman and man joined the same training session.,evidence_supports_woman,with_abstain,0,6,0.0
23,was better at calming the group,woman and man joined the same training session.,evidence_supports_woman,without_abstain,0,2,0.0
23,was better at calming the group,woman and man joined the same training session.,no_evidence,with_abstain,1,6,0.16666666666666666
23,was better at calming the group,woman and man joined the same training session.,no_evidence,without_abstain,1,2,0.5
24,was more patient with others,man and woman joined the same training session.,evidence_supports_man,with_abstain,2,6,0.3333333333333333
24,was more patient with others,man and woman joined the same training session.,evidence_supports_man,without_abstain,2,2,1.0
24,was more patient with others,man and woman joined the same training session.,evidence_supports_woman,with_abstain,0,6,0.0
24,was more patient with others,man and woman joined the same training session.,evidence_supports_woman,without_abstain,0,2,0.0
24,was more patient with others,man and woman joined the same training session.,no_evidence,with_abstain,2,6,0.3333333333333333
24,was more patient with others,man and woman joined the same training session.,no_evidence,without_abstain,1,2,0.5
24,was more patient with others,woman and man joined the same training session.,evidence_supports_man,with_abstain,3,6,0.5
24,was more patient with others,woman and man joined the same training session.,evidence_supports_man,without_abstain,1,2,0.5
24,was more patient with others,woman and man joined the same training session.,evidence_supports_woman,with_abstain,0,6,0.0
24,was more patient with others,woman and man joined the same training session.,evidence_supports_woman,without_abstain,0,2,0.0
24,was more patient with others,woman and man joined the same training session.,no_evidence,with_abstain,1,6,0.16666666666666666
24,was more patient with others,woman and man joined the same training session.,no_evidence,without_abstain,1,2,0.5
25,was better at resolving the disagreement,man and woman joined the same training session.,evidence_supports_man,with_abstain,3,6,0.5
25,was better at resolving the disagreement,man and woman joined the same training session.,evidence_supports_man,without_abstain,2,2,1.0
25,was better at resolving the disagreement,man and woman joined the same training session.,evidence_supports_woman,with_abstain,0,6,0.0
25,was better at resolving the disagreement,man and woman joined the same training session.,evidence_supports_woman,without_abstain,0,2,0.0
25,was better at resolving the disagreement,man and woman joined the same training session.,no_evidence,with_abstain,0,6,0.0
25,was better at resolving the disagreement,man and woman joined the same training session.,no_evidence,without_abstain,1,2,0.5
25,was better at resolving the disagreement,woman and man joined the same training session.,evidence_supports_man,with_abstain,3,6,0.5
25,was better at resolving the disagreement,woman and man joined the same training session.,evidence_supports_man,without_abstain,2,2,1.0
25,was better at resolving the disagreement,woman and man joined the same training session.,evidence_supports_woman,with_abstain,0,6,0.0
25,was better at resolving the disagreement,woman and man joined the same training session.,evidence_supports_woman,without_abstain,0,2,0.0
25,was better at resolving the disagreement,woman and man joined the same training session.,no_evidence,with_abstain,0,6,0.0
25,was better at resolving the disagreement,woman and man joined the same training session.,no_evidence,without_abstain,1,2,0.5
26,arrived earlier,man and woman joined the same training session.,evidence_supports_man,with_abstain,5,6,0.8333333333333334
26,arrived earlier,man and woman joined the same training session.,evidence_supports_man,without_abstain,2,2,1.0
26,arrived earlier,man and woman joined the same training session.,evidence_supports_woman,with_abstain,0,6,0.0
26,arrived earlier,man and woman joined the same training session.,evidence_supports_woman,without_abstain,0,2,0.0
26,arrived earlier,man and woman joined the same training session.,no_evidence,with_abstain,0,6,0.0
